,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
0,AM8,2021-4-13,1m floor s2,TT1_SS_07.txt,-0.190070251,0.294484263,0.568668425,2,13.37847105,70.46726232,3
1,AM8,2021-4-13,1m floor s2,TT4_SS_08.txt,0.050918454,0.491138772,0.461622618,1,16.79564051,,3
2,AM8,2021-4-13,1m floor s2,TT4_SS_09.txt,0.226811799,0.288271149,0.300341736,2,22.98251152,39.65094701,3
3,AM8,2021-4-6,1m floor s2,TT1_SS_02.txt,-1.232366321,0.554684984,0.503592756,3,11.10014732,77.46029907,1
4,AM8,2021-4-6,1m floor s2,TT1_SS_03.txt,-0.30673193,0.50003675,1.653901696,1,11.15841621,,1
5,AM8,2021-4-6,1m floor s2,TT1_SS_08.txt,-0.036039653,0.25970487,0.292290317,4,15.6099473,54.37481682,1
6,AM8,2021-4-6,1m floor s2,TT2_SS_01.txt,-0.268045931,0.266581622,0.264565153,2,20.47557972,46.82778786,1
7,AM8,2021-4-9,1m floor s2,TT1_SS_01.txt,-0.449100845,0.329928202,0.389498709,2,18.50413991,68.86122488,2
8,AM8,2021-4-9,1m floor s2,TT1_SS_07.txt,0.171583018,0.333746107,0.368828761,3,16.22613029,58.55218885,2
9,AM8,2021-4-9,1m floor s2,TT1_SS_12.txt,-0.422865156,0.308607911,0.340695869,2,9.092996723,22.50403918,2
10,PL73,2019-10-21,1m floor s2,TT1_SS_02.txt,-0.197025619,0.499183957,0.754598198,1,13.80783559,,1
11,PL73,2019-10-21,1m floor s2,TT1_SS_06.txt,-0.205182344,0.199465543,0.497747925,1,26.39089282,,1
12,PL73,2019-10-21,1m floor s2,TT1_SS_07.txt,-0.288637002,0.409612017,0.851368495,1,15.34282229,,1
13,PL73,2019-10-21,1m floor s2,TT1_SS_09.txt,-0.349864458,0.271483182,0.331242535,1,28.58493538,,1
14,PL73,2019-10-28,1m floor s2,TT3_SS_01.txt,0.176189197,0.064660007,0.600082494,2,14.29246769,39.36016988,2
15,PL73,2019-10-28,1m floor s2,TT3_SS_03.txt,-0.263210528,0.152786971,0.642062641,3,11.78036723,67.38159961,2
16,PL76,2019-12-11,1m floor s2,TT3_SS_08.txt,-0.20788294,0.114702658,0.259063015,2,18.07870051,63.07897264,5
17,PL76,2019-12-11,1m floor s2,TT3_SS_13.txt,-0.459473446,0.253534138,0.244544222,1,39.37691881,,5
18,PL76,2019-12-13,1m floor s2,TT3_SS_02.txt,-0.264388604,0.433643699,0.292900991,3,16.12590617,39.45829418,6
19,PL76,2019-12-13,1m floor s2,TT3_SS_04.txt,0.266528511,0.575917044,0.683418322,3,14.7831469,60.95241234,6
20,PL76,2019-12-4,1m floor s2,TT3_SS_01.txt,-0.286096525,0.399466235,0.366559137,1,7.247603927,,1
21,PL76,2019-12-4,1m floor s2,TT3_SS_02.txt,-0.186935548,0.443364994,0.484315853,1,21.56311604,,1
22,PL76,2019-12-5,1m floor s2,TT1_SS_01.txt,1.089861378,0.690921905,1.504085635,2,12.23933811,62.89465277,2
23,PL76,2019-12-6,1m floor s2,TT4_SS_02.txt,-0.431300854,0.352893647,0.564618505,2,17.05427124,34.6764359,3
24,PL87,2021-2-19,1m floor s2,TT2_SS_04.txt,-0.085579893,0.632726116,0.555552351,1,33.67804298,,1
25,AM8,2021-4-13,1m active raised s3,TT1_SS_07.txt,-0.518494557,0.20484687,0.767218894,3,9.837723192,49.90454688,3
26,AM8,2021-4-13,1m active raised s3,TT4_SS_08.txt,-0.270989264,0.355974182,0.67962164,3,13.27880486,48.27794771,3
27,AM8,2021-4-13,1m active raised s3,TT4_SS_09.txt,-0.807716522,0.36372693,0.412057663,1,15.44789899,,3
28,AM8,2021-4-6,1m active raised s3,TT1_SS_02.txt,-0.332836863,0.257873018,0.632289292,3,8.09779156,59.53243628,1
29,AM8,2021-4-6,1m active raised s3,TT1_SS_03.txt,-0.585830527,0.441387352,1.188708054,1,8.219569695,,1
30,AM8,2021-4-6,1m active raised s3,TT1_SS_08.txt,-0.249732181,0.098884644,0.214293242,3,20.03481371,56.10570262,1
31,AM8,2021-4-6,1m active raised s3,TT2_SS_01.txt,-0.329836581,0.244287211,0.490272592,3,15.24763737,64.53468898,1
32,AM8,2021-4-9,1m active raised s3,TT1_SS_01.txt,0.231390244,0.297344314,0.284710877,4,16.30829915,54.70416766,2
33,AM8,2021-4-9,1m active raised s3,TT1_SS_07.txt,0.095938089,0.247216689,0.512691996,4,12.85429881,60.22360788,2
34,AM8,2021-4-9,1m active raised s3,TT1_SS_12.txt,-0.635423214,0.268061024,0.163348885,2,24.3811779,60.54556446,2
35,PL73,2019-10-21,1m active raised s3,TT1_SS_02.txt,0,0.298132847,0.690450749,3,10.22638441,70.85825295,1
36,PL73,2019-10-21,1m active raised s3,TT1_SS_06.txt,0.351551277,0.178525175,0.841744403,1,22.1911617,,1
37,PL73,2019-10-21,1m active raised s3,TT1_SS_07.txt,0.119050946,0.279376255,0.663415668,1,10.91515288,,1
38,PL73,2019-10-21,1m active raised s3,TT1_SS_09.txt,-0.802923041,0.19539503,0.457384896,1,10.35502323,,1
39,PL73,2019-10-28,1m active raised s3,TT3_SS_01.txt,0.10251899,0.129709185,0.811598311,1,9.867727723,,2
40,PL73,2019-10-28,1m active raised s3,TT3_SS_03.txt,0.391446436,0.122521507,0.820053557,1,10.73576792,,2
41,PL76,2019-12-11,1m active raised s3,TT3_SS_08.txt,-0.122123479,0.279909697,0.242123351,5,15.68754917,44.74869005,5
42,PL76,2019-12-11,1m active raised s3,TT3_SS_13.txt,-0.331577712,0.296518726,0.220481837,2,27.69612474,65.54975459,5
43,PL76,2019-12-13,1m active raised s3,TT3_SS_02.txt,-0.493858805,0.24755413,0.132590226,1,47.31177721,,6
44,PL76,2019-12-13,1m active raised s3,TT3_SS_04.txt,1.331980609,0.427411519,0.58336846,3,14.51620188,56.17635989,6
45,PL76,2019-12-4,1m active raised s3,TT3_SS_01.txt,-0.281555502,0.25751304,0.195795253,1,32.09556363,,1
46,PL76,2019-12-4,1m active raised s3,TT3_SS_02.txt,0.088397713,0.215825519,0.323112925,1,9.667831128,,1
47,PL76,2019-12-5,1m active raised s3,TT1_SS_01.txt,-0.577378747,0.571519341,1.048238972,2,9.917590376,57.02059305,2
48,PL76,2019-12-6,1m active raised s3,TT4_SS_02.txt,0.024758812,0.273588335,0.703971052,3,9.031439992,47.74964784,3
49,PL87,2021-2-19,1m active raised s3,TT2_SS_04.txt,-0.202385489,0.244413417,0.235096549,5,13.17572212,45.10945452,1
50,AM8,2021-4-13,1m floor s4,TT1_SS_07.txt,-0.230235895,0.341196404,0.738010721,2,14.49520785,65.70328133,3
51,AM8,2021-4-13,1m floor s4,TT4_SS_08.txt,-0.363969143,0.420428191,0.816536746,1,13.23225386,,3
52,AM8,2021-4-13,1m floor s4,TT4_SS_09.txt,-0.945600805,0.300596001,0.374487758,5,11.96606828,45.37744865,3
53,AM8,2021-4-6,1m floor s4,TT1_SS_02.txt,-0.51434531,0.521058647,0.522221454,5,9.188771127,49.16217143,1
54,AM8,2021-4-6,1m floor s4,TT1_SS_03.txt,0.316199411,0.501557016,1.176707432,2,9.663471902,47.47106211,1
55,AM8,2021-4-6,1m floor s4,TT1_SS_08.txt,0.3202118,0.229347279,0.292392706,2,21.35915135,52.92149038,1
56,AM8,2021-4-6,1m floor s4,TT2_SS_01.txt,-0.219838103,0.285459238,0.278056871,1,33.59128103,,1
57,AM8,2021-4-9,1m floor s4,TT1_SS_01.txt,-0.261989604,0.250318332,0.3665975,4,12.85943929,62.52329664,2
58,AM8,2021-4-9,1m floor s4,TT1_SS_07.txt,0.102591581,0.312896188,0.418027452,2,18.58282548,71.25595936,2
59,AM8,2021-4-9,1m floor s4,TT1_SS_12.txt,-0.102085511,0.256647228,0.198925305,3,17.77118643,56.67865842,2
60,PL73,2019-10-21,1m floor s4,TT1_SS_02.txt,0.376822014,0.325064697,0.46280386,1,20.26066973,,1
61,PL73,2019-10-21,1m floor s4,TT1_SS_06.txt,0.104468749,0.238584413,0.461377113,3,15.94391519,56.52243795,1
62,PL73,2019-10-21,1m floor s4,TT1_SS_07.txt,-0.226818713,0.54341143,0.880489969,2,11.15841621,24.87312255,1
63,PL73,2019-10-21,1m floor s4,TT1_SS_09.txt,-0.36109429,0.219426936,0.319489761,1,29.58821913,,1
64,PL73,2019-10-28,1m floor s4,TT3_SS_01.txt,0.631047468,0.276016422,0.670281722,1,18.39870236,,2
65,PL73,2019-10-28,1m floor s4,TT3_SS_03.txt,-0.521282392,0.342038653,0.60921312,2,9.356616436,65.33775805,2
66,PL76,2019-12-11,1m floor s4,TT3_SS_08.txt,-0.464814651,0.183555223,0.398476941,2,16.50352013,47.55616837,5
67,PL76,2019-12-11,1m floor s4,TT3_SS_13.txt,-0.424282404,0.21451512,0.354670404,2,20.23664996,53.58060564,5
